User_ID,MC_Similarity,User_Mean
A1HCCW38EQQBTY,0.26052404030677645,4.958333333333333
A3GS5WAQVO4CFB,0.2591147910521782,5.25
A2A788AUOVBOL2,0.2539663751905731,5.454545454545454
A17P4YJ8E81WNX,0.25340362380509834,3.875
A22WY238ZYNOS1,0.2522657836373175,5.5
A3J8SZL4IN1D46,0.246186196654077,5.714285714285714
A1OKLAQJVFREOQ,0.246186196654077,5.714285714285714
A3BY2QW7T0401N,0.24563009963363372,7.5
A32XSKO7TOI0BH,0.2417955702659611,5.4
A3D2VIUT2HWP0Z,0.23783846169504747,6.0
A9DG42O0DBLFJ,0.23028610030812735,5.75
AUNTP49HBIDWR,0.23028610030812735,6.25
A2KD62P971YDYL,0.23028610030812735,6.25
A1ZSCLGFSLQ73P,0.23028610030812735,6.25
A1S10OAFGPC4W,0.2293588588649355,4.461538461538462
A70YTUFJY5HXN,0.2290961272134726,6.2
A356RFKNIG043B,0.22716343239796594,5.75
A2U6L6XZ2LSNBP,0.22716343239796594,5.75
A3OLZXHFGUAMWW,0.22448626655748075,5.333333333333333
A1K8ZDVUISGYS5,0.22433927820244284,9.0
A23Y7ESOGEBSZT,0.2081682262672338,6.25
AHUT55E980RDR,0.20032273572237666,6.75
AHMAQXXYIR6DK,0.19255560929719126,5.5
A1UHVLIX5CKVSN,0.18802781353676534,12.5
A3FWHXSZSTKFIU,0.18516849018271403,5.666666666666667
A1TGCU5CZF9LKA,0.18031652641589235,7.333333333333333
A3HU0B9XUEVHIM,0.1791810201956408,4.918918918918919
A3VPEY3KJDU20G,0.17773714750007247,5.833333333333333
A12KG1WB97PFC7,0.1703831022040929,5.714285714285714
A1G41M8Z7ABOB5,0.1698118828694879,6.5
A35XAPHVURGQID,0.168177189091545,6.0
A14GK0E64J0WAS,0.16649832186761754,4.620689655172414
A200C7YQJ45LRR,0.16577510998337341,6.125
ANAYSRE3LX8GZ,0.1637485757060853,2.75
A3211X76DK0WH6,0.16374857570608525,7.0
A30UZ4M6ISPY7P,0.1618703523469365,5.153846153846154
A23I4TZSZYSY1Q,0.15774410068215008,7.5
A38B3TPA6OFT9T,0.15502262241962644,4.636363636363637
A1PV85C09Z4OB8,0.1540643284498938,5.6
A1PWANJ4V0TXCO,0.15398030581808497,5.666666666666667
A2F8XJL9VQZWK5,0.15352406687208492,6.25
A23FQRKY8W2MM4,0.15137369122406572,5.769230769230769
A28XPN759HNNFL,0.15054273322824702,5.5
A1HFVQZIDK7UUD,0.15046531005297137,6.166666666666667
AFTN9ZLB22PSZ,0.14729143241904152,5.2
A3RW6WQB5VZXFZ,0.14564571809033713,7.0
AKGF27HN0OF19,0.1456301158260741,5.5
A1VTEL32W5FM13,0.14445138940444188,5.041666666666667
A24ZFFRQ4MG3XL,0.14177051016705233,6.333333333333333
A3PCTD8QM1BIXI,0.1389248745991242,5.15
