cluster_label,count,mean,std,min,max
5,19,0.9881499291686348,0.0024046111490626434,0.9836065573770492,0.9919786096256684
8,57,0.9712368822893179,0.005945016519788021,0.958904109589041,0.9827586206896551
3,358,0.9211891255304447,0.020792400327157942,0.8846153846153846,0.9594594594594594
4,183,0.89646670588149,0.04058768295309308,0.8,0.9714285714285714
2,1404,0.776791144499427,0.06447923575684378,0.5714285714285714,0.926829268292683
7,5733,0.6633352043218891,0.10717596259091063,0.4,0.8888888888888888
9,43,0.6583136959489042,0.10522774828969864,0.5714285714285714,0.9302325581395349
6,294,0.4778450812390475,0.12993950016747371,0.4,0.9090909090909091
0,39832,0.38894877027471425,0.10916079020501893,0.25,0.7692307692307693
1,2187,0.0,0.0,0.0,0.0
