cluster_label,avg_common,max_common,min_common_nonzero,num_users
5,0.05107917371708623,261.36842105263156,1.1578947368421053,19
8,0.019057052117611675,106.17543859649123,1.0,57
3,0.01244449112108787,38.08100558659218,1.0,358
4,0.0815816056515921,32.28415300546448,1.0,183
2,0.02760187918542705,11.905270655270655,1.0007122507122508,1404
9,0.000646033507418943,8.348837209302326,4.790697674418604,43
7,0.007752891127135275,7.078318506889936,1.0,5733
6,0.0005198191751505527,3.557823129251701,2.129251700680272,294
0,0.0010517311265257766,2.1016770435830487,1.0,39832
1,0.0,0.0,0.0,2187
