Target_User,Neighbor_User_ID,Similarity_Score
A36EDWL4F3AASU,A1KYHC3ZXAJICU,0.8169
A36EDWL4F3AASU,AXG5I4CK8OQ2F,0.704
A36EDWL4F3AASU,ATIDIWJFL41W7,0.6855
A36EDWL4F3AASU,A1ATS3PBW6WSP7,0.6794
A36EDWL4F3AASU,A39HK7B1INNEC0,0.6481
A36EDWL4F3AASU,A1P3SPJ15O5RQ1,0.6436
A36EDWL4F3AASU,A2Z5DML3JRBBDR,0.6416
A36EDWL4F3AASU,A3TIQ523O0W6OQ,0.6408
A36EDWL4F3AASU,A310KT1UQC5UNU,0.6407
A36EDWL4F3AASU,A3TIENRAOCCAL2,0.6318
A36EDWL4F3AASU,A58NEZYIIR2JF,0.6295
A36EDWL4F3AASU,A16NIPNMDRJJNE,0.6281
A36EDWL4F3AASU,A1303KD3DN2ULA,0.6216
A36EDWL4F3AASU,A174JGV7GQK5SS,0.6193
A36EDWL4F3AASU,A33WLDTBH4HMIF,0.6188
A36EDWL4F3AASU,A1VGHEI55DU870,0.6186
A36EDWL4F3AASU,A1DJDDPJP6THC1,0.6185
A36EDWL4F3AASU,A3OKJFE4SESD3K,0.6154
A36EDWL4F3AASU,A31UFA8DTI5R59,0.6154
A36EDWL4F3AASU,A2II5J0XP8WN45,0.6152
A36EDWL4F3AASU,A1CE0UVWM31WEC,0.6148
A36EDWL4F3AASU,A276YDM0MOLKRR,0.6144
A36EDWL4F3AASU,A11P8ZZN2NRL27,0.611
A36EDWL4F3AASU,A1D3YB9616VOPL,0.6102
A36EDWL4F3AASU,AY68U1SJ0UB8B,0.6077
A36EDWL4F3AASU,A2UR1BYLM6ACLC,0.6064
A36EDWL4F3AASU,A1YN6TCFN2SU69,0.6056
A36EDWL4F3AASU,A2X24M6ERNC3NG,0.6054
A36EDWL4F3AASU,ANOV2FV2WE1FG,0.605
A36EDWL4F3AASU,AEQYAG42F9128,0.6047
A36EDWL4F3AASU,A31U9P0JFTW55H,0.6021
A36EDWL4F3AASU,A152M3AJPHZILD,0.6017
A36EDWL4F3AASU,AER2CRRW2U50Q,0.6009
A36EDWL4F3AASU,A2D8B2F7C8PRI2,0.6008
A36EDWL4F3AASU,A3B6Q36NIX22MQ,0.5997
A36EDWL4F3AASU,APVJ3TANQX8FU,0.5973
A36EDWL4F3AASU,A12Z4MTMIX08EM,0.597
A36EDWL4F3AASU,AF5ANUJ6M96YH,0.5969
A36EDWL4F3AASU,A3CFB16J8HWHG,0.5963
A36EDWL4F3AASU,A1ZNUOJK5V0N8V,0.5956
A36EDWL4F3AASU,A2PD927IKWTRNG,0.5939
A36EDWL4F3AASU,A20UMJVETOT2II,0.5926
A36EDWL4F3AASU,A3GC143OUB4Q4D,0.5909
A36EDWL4F3AASU,A39CYUXTVGQSCF,0.5901
A36EDWL4F3AASU,AF6LL36EXQ210,0.5897
A36EDWL4F3AASU,A1NC5YN34N5VRX,0.5897
A36EDWL4F3AASU,A12R3YGEHW7D8G,0.5895
A36EDWL4F3AASU,A2AP9414G211NZ,0.5869
A36EDWL4F3AASU,A3GU5YTM2N686N,0.5865
A36EDWL4F3AASU,A2YBKDVK5BWXO4,0.5865
